bigram,freq
kt,11486
ko,11453
hm,11397
aa,11294
xi,10979
pm,10919
gm,10724
xa,10684
lh,10237
wr,10158
fd,9702
hp,9596
tg,9459
hl,9033
gb,8777
ej,8562
hh,8484
ln,8447
ae,8332
gd,8209
fb,8190
xc,7723
yg,7657
mw,7576
oj,7560
nj,7531
hb,7198
lg,7194
fy,7112
fg,7047
sv,6954
za,6889
wl,6785
aj,6756
lk,6701
mr,6591
bj,6588
hd,6466
xe,6400
hf,6319
mc,6257
ja,6102
fn,6070
iw,5981
yu,5908
uk,5802
ao,5512
mf,5500
uf,5486
ih,5440
kw,5133
ax,5123
bt,5012
cp,4963
kl,4498
ix,4492
tv,4458
dj,4409
mh,4373
kf,4350
ww,4203
wc,4196
zi,4161
az,4023
mn,3980
pw,3974
sj,3879
ox,3729
tj,3662
bb,3609
wm,3587
ml,3575
kh,3547
hg,3519
ii,3458
sq,3441
kp,3405
wp,3342
iu,3324
cd,3276
yv,3183
aq,3162
wd,3095
iq,3092
md,3066
rj,2988
py,2974
tk,2961
kb,2949
wb,2927
pf,2913
wf,2898
wy,2882
pb,2854
pc,2826
kc,2805
dk,2774
cm,2762
fv,2759
nq,2726
yy,2594
uo,2550
cf,2528
fj,2424
xu,2404
cw,2368
ky,2353
km,2351
kr,2253
cb,2189
uw,2181
yj,2178
bm,2142
ku,2010
zo,1964
pd,1937
bc,1899
kd,1887
lj,1878
kg,1836
yk,1814
ez,1662
uh,1639
cg,1621
mg,1595
dq,1592
gv,1566
fk,1528
cq,1490
xo,1443
uy,1441
bv,1402
xh,1331
tq,1322
cn,1307
hv,1283
rq,1213
tz,1192
ji,1174
wu,1150
wg,1109
pg,1109
oz,1094
lq,1082
hj,1066
nz,1053
bw,1041
bd,1002
vy,1002
oq,995
cv,984
gj,980
xm,978
ij,953
ux,950
vu,926
yq,917
hk,899
qa,881
hq,851
uv,837
pn,836
mv,823
xf,815
bh,788
gk,786
bn,780
bp,762
xs,723
zz,679
qi,639
rx,632
mj,617
vs,608
xw,607
fq,601
yz,557
gq,552
xr,524
mk,514
xy,511
uz,481
nx,463
wk,457
wv,451
zu,451
bf,436
xb,431
cj,423
rz,418
vc,396
vt,384
zy,381
wj,380
vr,372
xl,369
xd,354
dz,348
sz,336
uu,336
vd,335
bg,332
zl,322
uj,321
kk,309
pv,302
iy,297
fz,295
qs,294
zs,285
kv,280
qt,276
cz,272
lz,262
vp,259
pk,258
zh,244
zt,241
kj,237
qw,229
vl,226
js,223
jr,213
qc,213
zw,204
mq,197
dx,195
zb,193
xn,192
pj,185
vm,183
jp,181
tx,179
wz,179
jd,174
jk,164
zm,162
vf,153
gz,150
hz,149
pq,148
xv,142
vh,140
vn,138
sx,136
jc,135
vw,135
jm,130
wq,127
vb,127
jn,124
zc,124
vv,121
qm,120
jh,119
kq,119
jw,115
vg,114
qb,112
qh,112
jb,107
zd,105
uq,104
jt,101
xx,98
zp,96
xg,96
qf,94
zn,93
vq,90
zr,84
ql,84
mz,82
jl,77
qd,76
qo,76
zf,74
zg,73
yx,70
zv,67
xq,64
bk,59
xj,55
qr,55
jf,53
qp,53
fx,52
qe,49
jj,48
jg,47
jv,46
qn,43
xk,42
vj,42
zk,41
lx,40
gx,36
vk,34
hx,31
mx,28
px,27
pz,27
qk,26
bq,26
bz,21
kz,21
qq,20
cx,20
jy,20
zj,17
wx,14
kx,14
zq,13
vz,13
qg,13
qv,12
jz,9
vx,8
qy,8
jq,7
xz,6
qj,6
zx,2
bx,1
